"","X","Site","month","Method","Microsite","Rep","field.micro","shrub.x","shrub.y","shrub.z","dry.veg.percent","green.veg.percent","woody.debris.percent","rocks.percent","bare.ground.percent","sum_percent","veg..height","dominant.type","dried.","notes","uniID","abun","Species"
"180",441,"CaSl","Sept","pitfall","open",4,"shrub4",NA,NA,NA,2,0,35,35,28,100,5,"grass",TRUE,"","CaSlSeptshrub4",12,1
"182",443,"CaSl","Sept","pitfall","open",6,"shrub6",NA,NA,NA,45,0,20,15,20,100,27,"herb",TRUE,"","CaSlSeptshrub6",26,2
"183",444,"CaSl","Sept","pitfall","open",7,"shrub7",NA,NA,NA,40,0,4,6,50,100,16,"grass",TRUE,"","CaSlSeptshrub7",2,1
"185",446,"CaSl","Sept","pitfall","open",9,"shrub9",NA,NA,NA,0,0,25,10,65,100,NA,NA,NA,"","CaSlSeptshrub9",2,1
"186",426,"CaS","Sept","pitfall","open",1,"open1",NA,NA,NA,20,0,2,20,58,100,8,"herb",TRUE,"","CaSSeptopen1",6,3
"187",435,"CaS","Sept","pitfall","open",10,"open10",NA,NA,NA,10,0,32,29,29,100,6,"grass",TRUE,"","CaSSeptopen10",2,2
"188",436,"CaS","Sept","pitfall","open",11,"open11",NA,NA,NA,35,0,4,45,16,100,14,"grass",TRUE,"","CaSSeptopen11",82,3
"189",437,"CaS","Sept","pitfall","open",12,"open12",NA,NA,NA,47,0,7,6,40,100,14,"herb",TRUE,"","CaSSeptopen12",95,2
"190",427,"CaS","Sept","pitfall","open",2,"open2",NA,NA,NA,10,0,3,7,80,100,11,"grass",TRUE,"","CaSSeptopen2",19,2
"191",428,"CaS","Sept","pitfall","open",3,"open3",NA,NA,NA,50,0,10,9,31,100,12,"grass",TRUE,"","CaSSeptopen3",48,4
"192",429,"CaS","Sept","pitfall","open",4,"open4",NA,NA,NA,20,0,3,17,60,100,9,"herb",TRUE,"","CaSSeptopen4",38,4
"193",430,"CaS","Sept","pitfall","open",5,"open5",NA,NA,NA,18,0,4,13,65,100,17,"herb",TRUE,"","CaSSeptopen5",17,3
"194",431,"CaS","Sept","pitfall","open",6,"open6",NA,NA,NA,24,0,6,55,15,100,5,"herb",TRUE,"","CaSSeptopen6",11,2
"195",432,"CaS","Sept","pitfall","open",7,"open7",NA,NA,NA,22,0,0,25,53,100,7,"grass",TRUE,"","CaSSeptopen7",11,2
"196",433,"CaS","Sept","pitfall","open",8,"open8",NA,NA,NA,27,0,2,10,61,100,6,"herb",TRUE,"","CaSSeptopen8",4,2
"197",434,"CaS","Sept","pitfall","open",9,"open9",NA,NA,NA,23,0,1,32,44,100,9,"grass",TRUE,"","CaSSeptopen9",28,1
"198",414,"CaS","Sept","pitfall","shrub",1,"shrub1",280,200,110,50,0,6,2,42,100,22,"grass",TRUE,"","CaSSeptshrub1",4,2
"199",423,"CaS","Sept","pitfall","shrub",10,"shrub10",300,290,110,22,0,4,12,62,100,12,"grass",TRUE,"","CaSSeptshrub10",9,2
"200",424,"CaS","Sept","pitfall","shrub",11,"shrub11",440,400,180,42,0,3,12,43,100,9,"grass",TRUE,"","CaSSeptshrub11",47,3
"201",425,"CaS","Sept","pitfall","shrub",12,"shrub12",360,340,90,65,0,25,4,6,100,21,"grass",TRUE,"","CaSSeptshrub12",20,1
"202",415,"CaS","Sept","pitfall","shrub",2,"shrub2",490,370,160,94,0,5,1,0,100,19,"grass",TRUE,"3 shrub cluster","CaSSeptshrub2",45,2
"203",416,"CaS","Sept","pitfall","shrub",3,"shrub3",260,190,100,46,0,3,5,46,100,15,"grass",TRUE,"","CaSSeptshrub3",155,1
"204",417,"CaS","Sept","pitfall","shrub",4,"shrub4",380,240,150,78,0,15,2,5,100,10,"grass",TRUE,"","CaSSeptshrub4",62,4
"205",418,"CaS","Sept","pitfall","shrub",5,"shrub5",160,130,120,35,0,15,35,15,100,12,"grass",TRUE,"","CaSSeptshrub5",179,3
"206",419,"CaS","Sept","pitfall","shrub",6,"shrub6",380,330,150,40,0,45,15,0,100,28,"grass",TRUE,"","CaSSeptshrub6",25,2
"207",420,"CaS","Sept","pitfall","shrub",7,"shrub7",500,160,100,90,0,5,5,0,100,20,"grass",TRUE,"3 shrub cluster","CaSSeptshrub7",9,2
"208",421,"CaS","Sept","pitfall","shrub",8,"shrub8",280,230,180,77,0,10,3,10,100,24,"grass",TRUE,"","CaSSeptshrub8",20,2
"210",316,"Coal","Aug","pitfall","open",13,"open1",NA,NA,NA,88,8,2,0,2,100,20,"grass",TRUE,"","CoalAugopen1",8,1
"211",325,"Coal","Aug","pitfall","open",22,"open10",NA,NA,NA,3,0,0,15,82,100,2,"herb",TRUE,"","CoalAugopen10",8,3
"212",326,"Coal","Aug","pitfall","open",23,"open11",NA,NA,NA,72,2,1,1,24,100,12,"herb",TRUE,"","CoalAugopen11",40,3
"213",327,"Coal","Aug","pitfall","open",24,"open12",NA,NA,NA,86,0,0,1,13,100,7,"herb",TRUE,"","CoalAugopen12",30,2
"214",317,"Coal","Aug","pitfall","open",14,"open2",NA,NA,NA,97,1,0,0,2,100,20,"grass",TRUE,"","CoalAugopen2",3,1
"215",318,"Coal","Aug","pitfall","open",15,"open3",NA,NA,NA,99,0,1,0,0,100,13,"grass",TRUE,"","CoalAugopen3",2,2
"216",319,"Coal","Aug","pitfall","open",16,"open4",NA,NA,NA,0,0,0,1,99,100,NA,NA,NA,"","CoalAugopen4",2,2
"217",320,"Coal","Aug","pitfall","open",17,"open5",NA,NA,NA,97,2,0,0,1,100,6,"grass",TRUE,"","CoalAugopen5",22,3
"218",321,"Coal","Aug","pitfall","open",18,"open6",NA,NA,NA,94,6,0,0,0,100,32,"grass",TRUE,"","CoalAugopen6",2,1
"219",322,"Coal","Aug","pitfall","open",19,"open7",NA,NA,NA,99,1,0,0,0,100,17,"herb",TRUE,"","CoalAugopen7",1,1
"220",323,"Coal","Aug","pitfall","open",20,"open8",NA,NA,NA,96,0,0,0,4,100,20,"grass",TRUE,"","CoalAugopen8",4,2
"221",324,"Coal","Aug","pitfall","open",21,"open9",NA,NA,NA,76,3,10,1,10,100,13,"grass",TRUE,"","CoalAugopen9",7,2
"222",304,"Coal","Aug","pitfall","open",1,"shrub1",NA,NA,NA,100,0,0,0,0,100,14,"grass",TRUE,"","CoalAugshrub1",7,1
"224",314,"Coal","Aug","pitfall","open",11,"shrub11",NA,NA,NA,79,0,0,1,20,100,12,"grass",TRUE,"","CoalAugshrub11",123,3
"225",315,"Coal","Aug","pitfall","open",12,"shrub12",NA,NA,NA,54,5,1,0,40,100,13,"grass",TRUE,"","CoalAugshrub12",8,2
"227",306,"Coal","Aug","pitfall","open",3,"shrub3",NA,NA,NA,100,0,0,0,0,100,21,"grass",TRUE,"","CoalAugshrub3",5,2
"228",307,"Coal","Aug","pitfall","open",4,"shrub4",NA,NA,NA,0,0,1,3,96,100,NA,NA,NA,"","CoalAugshrub4",1,1
"229",308,"Coal","Aug","pitfall","open",5,"shrub5",NA,NA,NA,10,9,1,0,80,100,34,"grass",TRUE,"","CoalAugshrub5",8,2
"230",309,"Coal","Aug","pitfall","open",6,"shrub6",NA,NA,NA,67,2,1,0,30,100,16,"grass",TRUE,"","CoalAugshrub6",1,1
"231",310,"Coal","Aug","pitfall","open",7,"shrub7",NA,NA,NA,98,2,0,0,0,100,15,"grass",TRUE,"","CoalAugshrub7",1,1
"232",311,"Coal","Aug","pitfall","open",8,"shrub8",NA,NA,NA,91,9,0,0,0,100,16,"grass",TRUE,"","CoalAugshrub8",6,1
"233",312,"Coal","Aug","pitfall","open",9,"shrub9",NA,NA,NA,99,0,1,0,0,100,24,"grass",TRUE,"","CoalAugshrub9",1,1
"234",105,"Coal","July","pitfall","open",13,"open1",NA,NA,NA,90,10,0,0,0,100,13,"grass",TRUE,"","CoalJulyopen1",9,1
"235",114,"Coal","July","pitfall","open",22,"open10",NA,NA,NA,99,1,0,0,0,100,5,"grass",TRUE,"","CoalJulyopen10",12,2
"236",115,"Coal","July","pitfall","open",23,"open11",NA,NA,NA,100,0,0,0,0,100,12,"grass",TRUE,"","CoalJulyopen11",4,3
"237",116,"Coal","July","pitfall","open",24,"open12",NA,NA,NA,91,8,0,0,1,100,9,"grass",TRUE,"","CoalJulyopen12",2,1
"239",107,"Coal","July","pitfall","open",15,"open3",NA,NA,NA,98,2,0,0,0,100,5,"grass",TRUE,"","CoalJulyopen3",1,1
"240",108,"Coal","July","pitfall","open",16,"open4",NA,NA,NA,5,5,0,0,90,100,10,"herb",TRUE,"","CoalJulyopen4",18,3
"241",109,"Coal","July","pitfall","open",17,"open5",NA,NA,NA,85,15,0,0,0,100,12,"grass",TRUE,"","CoalJulyopen5",18,2
"242",110,"Coal","July","pitfall","open",18,"open6",NA,NA,NA,90,10,0,0,0,100,15,"grass",TRUE,"","CoalJulyopen6",33,2
"243",111,"Coal","July","pitfall","open",19,"open7",NA,NA,NA,97,1,1,0,1,100,22,"grass",TRUE,"","CoalJulyopen7",31,2
"244",112,"Coal","July","pitfall","open",20,"open8",NA,NA,NA,98,2,0,0,0,100,8,"grass",TRUE,"","CoalJulyopen8",22,1
"245",113,"Coal","July","pitfall","open",21,"open9",NA,NA,NA,98,1,0,0,1,100,14,"grass",TRUE,"","CoalJulyopen9",4,1
"246",93,"Coal","July","pitfall","open",1,"shrub1",NA,NA,NA,98,2,0,0,0,100,14,"grass",TRUE,"","CoalJulyshrub1",50,1
"247",102,"Coal","July","pitfall","open",10,"shrub10",NA,NA,NA,3,2,1,0,94,100,5,"grass",TRUE,"","CoalJulyshrub10",113,3
"248",103,"Coal","July","pitfall","open",11,"shrub11",NA,NA,NA,49,2,0,0,49,100,10,"grass",TRUE,"","CoalJulyshrub11",31,3
"249",104,"Coal","July","pitfall","open",12,"shrub12",NA,NA,NA,96,1,0,0,3,100,14,"grass",TRUE,"","CoalJulyshrub12",1,1
"250",94,"Coal","July","pitfall","open",2,"shrub2",NA,NA,NA,100,0,0,0,0,100,26,"grass",TRUE,"","CoalJulyshrub2",2,1
"252",96,"Coal","July","pitfall","open",4,"shrub4",NA,NA,NA,5,1,0,1,93,100,11,"grass",TRUE,"","CoalJulyshrub4",2,1
"253",97,"Coal","July","pitfall","open",5,"shrub5",NA,NA,NA,97,3,0,0,0,100,27,"grass",TRUE,"","CoalJulyshrub5",1,1
"254",98,"Coal","July","pitfall","open",6,"shrub6",NA,NA,NA,67,1,1,1,30,100,17,"herb",TRUE,"","CoalJulyshrub6",2,2
"255",99,"Coal","July","pitfall","open",7,"shrub7",NA,NA,NA,94,2,1,0,3,100,27,"grass",TRUE,"","CoalJulyshrub7",21,2
"256",100,"Coal","July","pitfall","open",8,"shrub8",NA,NA,NA,8,3,0,1,88,100,5,"grass",TRUE,"","CoalJulyshrub8",29,2
"257",522,"Coal","Sept","pitfall","open",13,"open1",NA,NA,NA,90,0,0,0,10,100,21,"grass",TRUE,"","CoalSeptopen1",2,1
"258",531,"Coal","Sept","pitfall","open",22,"open10",NA,NA,NA,80,10,0,5,5,100,12,"grass",TRUE,"","CoalSeptopen10",3,2
"260",533,"Coal","Sept","pitfall","open",24,"open12",NA,NA,NA,70,15,0,0,15,100,17,"grass",TRUE,"","CoalSeptopen12",4,3
"261",523,"Coal","Sept","pitfall","open",14,"open2",NA,NA,NA,96,2,2,0,0,100,12,"grass",TRUE,"","CoalSeptopen2",3,2
"262",524,"Coal","Sept","pitfall","open",15,"open3",NA,NA,NA,97,0,1,0,2,100,8,"grass",TRUE,"","CoalSeptopen3",5,1
"263",525,"Coal","Sept","pitfall","open",16,"open4",NA,NA,NA,100,0,0,0,0,100,15,"grass",TRUE,"","CoalSeptopen4",1,1
"264",526,"Coal","Sept","pitfall","open",17,"open5",NA,NA,NA,98,0,0,0,2,100,17,"grass",TRUE,"cow dung","CoalSeptopen5",1,1
"266",528,"Coal","Sept","pitfall","open",19,"open7",NA,NA,NA,93,2,0,0,5,100,15,"grass",TRUE,"cow dung","CoalSeptopen7",4,1
"267",529,"Coal","Sept","pitfall","open",20,"open8",NA,NA,NA,99,1,0,0,0,100,24,"grass",TRUE,"","CoalSeptopen8",12,2
"269",510,"Coal","Sept","pitfall","open",1,"shrub1",NA,NA,NA,96,2,0,2,0,100,8,"grass",TRUE,"","CoalSeptshrub1",3,1
"270",519,"Coal","Sept","pitfall","open",10,"shrub10",NA,NA,NA,70,5,0,10,15,100,9,"grass",TRUE,"","CoalSeptshrub10",1,1
"271",520,"Coal","Sept","pitfall","open",11,"shrub11",NA,NA,NA,80,10,0,5,5,100,11,"grass",TRUE,"","CoalSeptshrub11",6,2
"272",521,"Coal","Sept","pitfall","open",12,"shrub12",NA,NA,NA,96,0,0,2,2,100,8,"grass",TRUE,"","CoalSeptshrub12",16,3
"273",511,"Coal","Sept","pitfall","open",2,"shrub2",NA,NA,NA,94,1,0,0,5,100,9,"grass",TRUE,"","CoalSeptshrub2",5,1
"274",512,"Coal","Sept","pitfall","open",3,"shrub3",NA,NA,NA,99,0,1,0,0,100,13,"grass",TRUE,"","CoalSeptshrub3",1,1
"279",517,"Coal","Sept","pitfall","open",8,"shrub8",NA,NA,NA,85,5,0,0,10,100,18,"grass",TRUE,"","CoalSeptshrub8",5,1
"280",518,"Coal","Sept","pitfall","open",9,"shrub9",NA,NA,NA,70,5,0,10,15,100,5,"grass",TRUE,"cow dung","CoalSeptshrub9",4,1
"281",269,"Lok","Aug","pitfall","open",1,"open1",NA,NA,NA,85,0,0,3,12,100,18,"herb",TRUE,"","LokAugopen1",45,1
"285",270,"Lok","Aug","pitfall","open",2,"open2",NA,NA,NA,12,0,0,30,58,100,26,"herb",TRUE,"","LokAugopen2",1,1
"286",271,"Lok","Aug","pitfall","open",3,"open3",NA,NA,NA,50,0,0,1,49,100,27,"grass",TRUE,"","LokAugopen3",4,1
"288",273,"Lok","Aug","pitfall","open",5,"open5",NA,NA,NA,30,0,0,0,70,100,22,"herb",TRUE,"","LokAugopen5",5,2
"289",274,"Lok","Aug","pitfall","open",6,"open6",NA,NA,NA,6,2,0,1,91,100,7,"grass",TRUE,"","LokAugopen6",1,1
"291",276,"Lok","Aug","pitfall","open",8,"open8",NA,NA,NA,87,0,0,0,13,100,25,"herb",TRUE,"","LokAugopen8",76,1
"293",258,"Lok","Aug","pitfall","shrub",1,"shrub1",390,250,140,100,0,0,0,0,100,30,"grass",TRUE,"","LokAugshrub1",3,2
"294",266,"Lok","Aug","pitfall","shrub",10,"shrub10",180,155,120,98,0,0,0,2,100,16,"grass",TRUE,"","LokAugshrub10",1,1
"296",268,"Lok","Aug","pitfall","shrub",12,"shrub12",190,150,130,45,0,0,0,55,100,19,"grass",TRUE,"","LokAugshrub12",4,1
"300",262,"Lok","Aug","pitfall","shrub",5,"shrub5",390,310,155,96,0,1,0,3,100,29,"grass",TRUE,"","LokAugshrub5",273,1
"302",264,"Lok","Aug","pitfall","shrub",8,"shrub8",180,150,105,97,0,0,0,3,100,24,"grass",TRUE,"Two shrubs very close together","LokAugshrub8",1,1
"303",265,"Lok","Aug","pitfall","shrub",9,"shrub9",110,75,145,65,0,0,0,35,100,22,"grass",TRUE,"","LokAugshrub9",1,1
"305",67,"Lok","July","pitfall","open",10,"open10",NA,NA,NA,65,0,0,0,35,100,14,"herb",TRUE,"","LokJulyopen10",2,2
"306",69,"Lok","July","pitfall","open",12,"open12",NA,NA,NA,25,0,0,1,74,100,10,"grass",TRUE,"","LokJulyopen12",5,2
"307",59,"Lok","July","pitfall","open",2,"open2",NA,NA,NA,20,25,0,0,55,100,12,"Grass",TRUE,"","LokJulyopen2",21,3
"308",60,"Lok","July","pitfall","open",3,"open3",NA,NA,NA,3,10,0,0,87,100,13,"herb",TRUE,"","LokJulyopen3",17,2
"309",61,"Lok","July","pitfall","open",4,"open4",NA,NA,NA,8,2,0,0,90,100,13,"Grass",TRUE,"","LokJulyopen4",19,2
"310",62,"Lok","July","pitfall","open",5,"open5",NA,NA,NA,1,0,0,1,98,100,1,"Grass",TRUE,"","LokJulyopen5",1,1
"311",63,"Lok","July","pitfall","open",6,"open6",NA,NA,NA,4,0,3,1,92,100,12,"Grass",TRUE,"","LokJulyopen6",1,1
"314",55,"Lok","July","pitfall","shrub",10,"shrub10",180,140,100,45,0,0,3,52,100,14,"Grass",TRUE,"","LokJulyshrub10",1,1
"315",56,"Lok","July","pitfall","shrub",11,"shrub11",220,170,120,15,0,0,5,80,100,18,"Grass",TRUE,"","LokJulyshrub11",3,2
"316",57,"Lok","July","pitfall","shrub",12,"shrub12",770,670,160,100,0,0,0,0,100,23,"Grass",TRUE,"","LokJulyshrub12",32,1
"317",47,"Lok","July","pitfall","shrub",2,"shrub2",310,190,115,95,0,5,0,0,100,30,"Grass",TRUE,"","LokJulyshrub2",5,2
"318",48,"Lok","July","pitfall","shrub",3,"shrub3",290,280,125,70,0,0,0,30,100,10,"Grass",TRUE,"","LokJulyshrub3",4,2
"319",49,"Lok","July","pitfall","shrub",4,"shrub4",110,105,85,70,0,15,0,15,100,23,"Grass",TRUE,"","LokJulyshrub4",2,2
"320",50,"Lok","July","pitfall","shrub",5,"shrub5",140,135,120,35,0,0,0,65,100,13,"Grass",TRUE,"","LokJulyshrub5",2,2
"322",52,"Lok","July","pitfall","shrub",7,"shrub7",160,140,85,13,0,2,0,85,100,29,"Grass",TRUE,"","LokJulyshrub7",1,1
"324",54,"Lok","July","pitfall","shrub",9,"shrub9",310,210,130,94,0,1,0,5,100,27,"Grass",TRUE,"","LokJulyshrub9",1,1
"325",474,"Lok","Sept","pitfall","open",1,"open1",NA,NA,NA,65,20,2,2,11,100,15,"herb",TRUE,"","LokSeptopen1",22,3
"326",483,"Lok","Sept","pitfall","open",10,"open10",NA,NA,NA,19,0,0,6,75,100,16,"grass",TRUE,"","LokSeptopen10",2,1
"327",484,"Lok","Sept","pitfall","open",11,"open11",NA,NA,NA,10,0,0,10,80,100,4,"grass",TRUE,"","LokSeptopen11",10,2
"328",485,"Lok","Sept","pitfall","open",12,"open12",NA,NA,NA,30,0,0,5,65,100,7,"grass",TRUE,"","LokSeptopen12",1,1
"329",475,"Lok","Sept","pitfall","open",2,"open2",NA,NA,NA,91,0,7,0,2,100,17,"grass",TRUE,"","LokSeptopen2",23,1
"330",476,"Lok","Sept","pitfall","open",3,"open3",NA,NA,NA,22,0,0,2,76,100,12,"grass",TRUE,"","LokSeptopen3",4,1
"331",477,"Lok","Sept","pitfall","open",4,"open4",NA,NA,NA,55,0,4,5,36,100,23,"grass",TRUE,"","LokSeptopen4",3,1
"332",478,"Lok","Sept","pitfall","open",5,"open5",NA,NA,NA,86,0,7,1,6,100,29,"herb",TRUE,"","LokSeptopen5",45,1
"333",479,"Lok","Sept","pitfall","open",6,"open6",NA,NA,NA,16,0,0,7,77,100,13,"grass",TRUE,"","LokSeptopen6",1,1
"334",480,"Lok","Sept","pitfall","open",7,"open7",NA,NA,NA,13,0,0,3,84,100,14,"herb",TRUE,"","LokSeptopen7",2,1
"335",481,"Lok","Sept","pitfall","open",8,"open8",NA,NA,NA,46,0,0,4,50,100,14,"herb",TRUE,"","LokSeptopen8",5,2
"336",482,"Lok","Sept","pitfall","open",9,"open9",NA,NA,NA,85,0,5,0,10,100,8,"herb",TRUE,"","LokSeptopen9",2,1
"338",471,"Lok","Sept","pitfall","shrub",10,"shrub10",300,240,170,8,0,2,1,89,100,23,"grass",TRUE,"","LokSeptshrub10",13,1
"339",472,"Lok","Sept","pitfall","shrub",11,"shrub11",260,220,130,100,0,0,0,0,100,32,"grass",TRUE,"","LokSeptshrub11",10,1
"340",473,"Lok","Sept","pitfall","shrub",12,"shrub12",190,170,80,45,0,3,2,50,100,13,"grass",TRUE,"","LokSeptshrub12",7,1
"341",463,"Lok","Sept","pitfall","shrub",2,"shrub2",260,250,120,100,0,0,0,0,100,39,"grass",TRUE,"","LokSeptshrub2",2,1
"342",464,"Lok","Sept","pitfall","shrub",3,"shrub3",180,170,140,100,0,0,0,0,100,37,"grass",TRUE,"","LokSeptshrub3",9,2
"343",465,"Lok","Sept","pitfall","shrub",4,"shrub4",400,390,130,98,0,0,0,2,100,22,"grass",TRUE,"","LokSeptshrub4",14,1
"344",466,"Lok","Sept","pitfall","shrub",5,"shrub5",320,240,100,98,0,1,0,1,100,23,"grass",TRUE,"","LokSeptshrub5",7,2
"345",467,"Lok","Sept","pitfall","shrub",6,"shrub6",210,140,90,90,0,0,0,10,100,32,"grass",TRUE,"","LokSeptshrub6",43,1
"346",468,"Lok","Sept","pitfall","shrub",7,"shrub7",340,280,170,100,0,0,0,0,100,24,"grass",TRUE,"","LokSeptshrub7",26,1
"347",469,"Lok","Sept","pitfall","shrub",8,"shrub8",390,320,110,88,0,0,0,12,100,29,"grass",TRUE,"","LokSeptshrub8",4,2
"349",402,"Mov","Aug","pitfall","open",13,"open1",NA,NA,NA,50,0,0,0,50,100,15,"grass",TRUE,"","MovAugopen1",2,2
"350",411,"Mov","Aug","pitfall","open",22,"open10",NA,NA,NA,95,0,0,0,5,100,15,"grass",TRUE,"","MovAugopen10",10,1
"351",412,"Mov","Aug","pitfall","open",23,"open11",NA,NA,NA,65,0,0,0,35,100,14,"grass",TRUE,"","MovAugopen11",8,2
"352",413,"Mov","Aug","pitfall","open",24,"open12",NA,NA,NA,90,0,0,0,10,100,14,"grass",TRUE,"","MovAugopen12",4,1
"353",403,"Mov","Aug","pitfall","open",14,"open2",NA,NA,NA,80,0,0,0,20,100,15,"grass",TRUE,"cow dung","MovAugopen2",1,1
"354",404,"Mov","Aug","pitfall","open",15,"open3",NA,NA,NA,90,0,0,0,10,100,8,"grass",TRUE,"cow dung","MovAugopen3",19,2
"355",405,"Mov","Aug","pitfall","open",16,"open4",NA,NA,NA,50,0,0,0,50,100,5,"grass",TRUE,"","MovAugopen4",43,1
"356",406,"Mov","Aug","pitfall","open",17,"open5",NA,NA,NA,40,0,0,0,60,100,13,"grass",TRUE,"","MovAugopen5",5,1
"357",407,"Mov","Aug","pitfall","open",18,"open6",NA,NA,NA,50,0,0,0,50,100,10,"grass",TRUE,"","MovAugopen6",7,1
"359",409,"Mov","Aug","pitfall","open",20,"open8",NA,NA,NA,85,0,0,0,15,100,8,"grass",TRUE,"cow dung","MovAugopen8",16,1
"360",410,"Mov","Aug","pitfall","open",21,"open9",NA,NA,NA,80,0,0,0,20,100,13,"grass",TRUE,"","MovAugopen9",10,2
"361",390,"Mov","Aug","pitfall","open",1,"shrub1",NA,NA,NA,90,0,0,0,10,100,14,"grass",TRUE,"","MovAugshrub1",1,1
"362",399,"Mov","Aug","pitfall","open",10,"shrub10",NA,NA,NA,75,0,0,0,25,100,19,"grass",TRUE,"cow dung","MovAugshrub10",9,1
"363",400,"Mov","Aug","pitfall","open",11,"shrub11",NA,NA,NA,70,0,0,0,30,100,10,"grass",TRUE,"","MovAugshrub11",78,2
"364",401,"Mov","Aug","pitfall","open",12,"shrub12",NA,NA,NA,65,0,0,0,35,100,10,"grass",TRUE,"cow dung","MovAugshrub12",150,1
"365",391,"Mov","Aug","pitfall","open",2,"shrub2",NA,NA,NA,92,0,0,0,8,100,27,"grass",TRUE,"","MovAugshrub2",1,1
"366",392,"Mov","Aug","pitfall","open",3,"shrub3",NA,NA,NA,84,0,1,0,15,100,11,"grass",TRUE,"","MovAugshrub3",2,1
"367",393,"Mov","Aug","pitfall","open",4,"shrub4",NA,NA,NA,85,0,0,0,15,100,12,"grass",TRUE,"","MovAugshrub4",2,1
"368",394,"Mov","Aug","pitfall","open",5,"shrub5",NA,NA,NA,50,1,0,0,49,100,9,"grass",TRUE,"","MovAugshrub5",1,1
"369",395,"Mov","Aug","pitfall","open",6,"shrub6",NA,NA,NA,40,0,0,0,60,100,11,"grass",TRUE,"","MovAugshrub6",6,1
