"","Site","month","Method","Microsite","Rep","field.micro","shrub.x","shrub.y","shrub.z","dry.veg.percent","green.veg.percent","woody.debris.percent","rocks.percent","bare.ground.percent","sum_percent","veg..height","dominant.type","dried.","notes","uniID","abun","H","Simpson","Species","Even"
"AvenAugopen1","Aven","Aug","pitfall","open",1,"open1",NA,NA,NA,100,0,0,0,0,100,25,"grass",TRUE,"","AvenAugopen1",6,0.636514168294813,0.444444444444444,2,0.918295834054489
"AvenAugopen10","Aven","Aug","pitfall","open",10,"open10",NA,NA,NA,100,0,0,0,0,100,29,"grass",TRUE,"","AvenAugopen10",9,0,0,1,NA
"AvenAugopen11","Aven","Aug","pitfall","open",11,"open11",NA,NA,NA,100,0,0,0,0,100,33,"grass",TRUE,"","AvenAugopen11",8,0.562335144618808,0.375,2,0.811278124459133
"AvenAugopen12","Aven","Aug","pitfall","open",12,"open12",NA,NA,NA,16,0,0,6,78,100,10,"herb",TRUE,"","AvenAugopen12",2,0,0,1,NA
"AvenAugopen2","Aven","Aug","pitfall","open",2,"open2",NA,NA,NA,90,0,10,0,0,100,56,"grass",TRUE,"","AvenAugopen2",13,0.690185676018804,0.497041420118343,2,0.995727452084926
"AvenAugopen3","Aven","Aug","pitfall","open",3,"open3",NA,NA,NA,97,0,0,0,3,100,50,"grass",TRUE,"","AvenAugopen3",1,0,0,1,NA
"AvenAugopen4","Aven","Aug","pitfall","open",4,"open4",NA,NA,NA,3,0,0,12,85,100,9,"grass",TRUE,"","AvenAugopen4",4,0.562335144618808,0.375,2,0.811278124459133
"AvenAugopen5","Aven","Aug","pitfall","open",5,"open5",NA,NA,NA,0,0,3,15,82,100,NA,NA,NA,"","AvenAugopen5",6,0.450561208866305,0.277777777777778,2,0.650022421648354
"AvenAugopen6","Aven","Aug","pitfall","open",6,"open6",NA,NA,NA,0,0,0,6,94,100,NA,NA,NA,"","AvenAugopen6",9,0.529706199057654,0.345679012345679,2,0.76420450650862
"AvenAugopen7","Aven","Aug","pitfall","open",7,"open7",NA,NA,NA,19,4,0,7,70,100,9,"herb",TRUE,"","AvenAugopen7",8,0.661563238157982,0.46875,2,0.954434002924965
"AvenAugopen8","Aven","Aug","pitfall","open",8,"open8",NA,NA,NA,16,0,5,0,79,100,11,"herb",TRUE,"","AvenAugopen8",18,0.214559155176405,0.104938271604938,2,0.309543429150325
"AvenAugopen9","Aven","Aug","pitfall","open",9,"open9",NA,NA,NA,96,0,0,0,4,100,8,"herb",TRUE,"","AvenAugopen9",12,0.562335144618808,0.375,2,0.811278124459133
"AvenAugshrub1","Aven","Aug","pitfall","shrub",1,"shrub1",305,190,150,100,0,0,0,0,100,49,"grass",TRUE,"","AvenAugshrub1",1,0,0,1,NA
"AvenAugshrub10","Aven","Aug","pitfall","shrub",10,"shrub10",300,230,165,95,0,5,0,0,100,33,"grass",TRUE,"","AvenAugshrub10",1,0,0,1,NA
"AvenAugshrub2","Aven","Aug","pitfall","shrub",2,"shrub2",130,115,120,100,0,0,0,0,100,32,"grass",TRUE,"","AvenAugshrub2",3,0,0,1,NA
"AvenAugshrub3","Aven","Aug","pitfall","shrub",3,"shrub3",215,170,105,100,0,0,0,0,100,33,"grass",TRUE,"","AvenAugshrub3",6,0,0,1,NA
"AvenAugshrub5","Aven","Aug","pitfall","shrub",5,"shrub5",360,235,160,38,0,4,0,58,100,36,"grass",TRUE,"","AvenAugshrub5",11,0,0,1,NA
"AvenAugshrub6","Aven","Aug","pitfall","shrub",6,"shrub6",290,210,95,89,0,4,3,4,100,24,"grass",TRUE,"","AvenAugshrub6",40,0,0,1,NA
"AvenAugshrub7","Aven","Aug","pitfall","shrub",7,"shrub7",200,160,145,100,0,0,0,0,100,27,"grass",TRUE,"","AvenAugshrub7",23,0.462036909466457,0.287334593572779,2,0.66657835799492
"AvenAugshrub8","Aven","Aug","pitfall","shrub",8,"shrub8",385,220,145,80,0,20,0,0,100,28,"grass",TRUE,"","AvenAugshrub8",18,0.348832095843032,0.197530864197531,2,0.503258334775646
"AvenAugshrub9","Aven","Aug","pitfall","shrub",9,"shrub9",370,285,160,100,0,0,0,0,100,42,"grass",TRUE,"","AvenAugshrub9",15,0,0,1,NA
"AvenJulyopen10","Aven","July","pitfall","open",10,"open10",NA,NA,NA,93,0,2,0,5,100,25,"grass",TRUE,"","AvenJulyopen10",21,0,0,1,NA
"AvenJulyopen11","Aven","July","pitfall","open",11,"open11",NA,NA,NA,3,0,0,1,96,100,10,"grass",TRUE,"","AvenJulyopen11",34,0.298435812703107,0.160899653979239,2,0.430551867010439
"AvenJulyopen2","Aven","July","pitfall","open",2,"open2",NA,NA,NA,100,0,0,0,0,100,23,"grass",TRUE,"","AvenJulyopen2",39,0,0,1,NA
"AvenJulyopen4","Aven","July","pitfall","open",4,"open4",NA,NA,NA,2,0,2,0,96,100,5,"grass",TRUE,"","AvenJulyopen4",2,0,0,1,NA
"AvenJulyopen5","Aven","July","pitfall","open",5,"open5",NA,NA,NA,73,0,12,0,15,100,19,"grass",TRUE,"","AvenJulyopen5",2,0,0,1,NA
"AvenJulyopen6","Aven","July","pitfall","open",6,"open6",NA,NA,NA,2,0,0,0,98,100,6,"grass",TRUE,"","AvenJulyopen6",12,0.636514168294813,0.444444444444444,2,0.918295834054489
"AvenJulyopen7","Aven","July","pitfall","open",7,"open7",NA,NA,NA,0,0,12,0,88,100,0,"grass",TRUE,"","AvenJulyopen7",1,0,0,1,NA
"AvenJulyopen8","Aven","July","pitfall","open",8,"open8",NA,NA,NA,0,0,1,1,98,100,0,"grass",TRUE,"","AvenJulyopen8",2,0.693147180559945,0.5,2,1
"AvenJulyopen9","Aven","July","pitfall","open",9,"open9",NA,NA,NA,96,0,4,0,0,100,32,"grass",TRUE,"","AvenJulyopen9",5,0,0,1,NA
"AvenJulyshrub11","Aven","July","pitfall","shrub",11,"shrub11",200,125,125,10,0,0,8,82,100,7,"grass",TRUE,"","AvenJulyshrub11",1,0,0,1,NA
"AvenJulyshrub12","Aven","July","pitfall","shrub",12,"shrub12",70,55,90,95,0,0,0,5,100,21,"grass",TRUE,"","AvenJulyshrub12",41,0.114665282202907,0.0475907198096372,2,0.165427033996267
"AvenJulyshrub2","Aven","July","pitfall","shrub",2,"shrub2",270,140,135,50,0,1,0,49,100,18,"grass",TRUE,"","AvenJulyshrub2",3,0.636514168294813,0.444444444444444,2,0.918295834054489
"AvenJulyshrub3","Aven","July","pitfall","shrub",3,"shrub3",120,65,110,99,0,1,0,0,100,36,"grass",TRUE,"","AvenJulyshrub3",2,0,0,1,NA
"AvenJulyshrub5","Aven","July","pitfall","shrub",5,"shrub5",130,65,115,98,0,0,0,2,100,18,"grass",TRUE,"","AvenJulyshrub5",4,0,0,1,NA
"AvenJulyshrub6","Aven","July","pitfall","shrub",6,"shrub6",160,150,85,100,0,0,0,0,100,38,"grass",TRUE,"","AvenJulyshrub6",15,0,0,1,NA
"AvenJulyshrub7","Aven","July","pitfall","shrub",7,"shrub7",255,240,110,3,0,4,0,93,100,10,"grass",TRUE,"small amount of broken glass","AvenJulyshrub7",16,0,0,1,NA
"AvenJulyshrub8","Aven","July","pitfall","shrub",8,"shrub8",165,150,140,3,0,2,1,94,100,5,"grass",TRUE,"","AvenJulyshrub8",7,0.410116318288409,0.244897959183674,2,0.591672778582327
"AvenJulyshrub9","Aven","July","pitfall","shrub",9,"shrub9",125,105,125,96,0,3,0,1,100,37,"grass",TRUE,"","AvenJulyshrub9",3,0,0,1,NA
"CaSAugopen1","CaS","Aug","pitfall","open",1,"open1",NA,NA,NA,45,0,0,35,20,100,6,"herb",TRUE,"","CaSAugopen1",164,0.467836759988177,0.211481261154075,5,0.290683322651835
"CaSAugopen11","CaS","Aug","pitfall","open",11,"open11",NA,NA,NA,41,0,0,1,58,100,10,"herb",TRUE,"","CaSAugopen11",41,1.08619827863757,0.5901249256395,5,0.674892936376036
"CaSAugopen12","CaS","Aug","pitfall","open",12,"open12",NA,NA,NA,36,0,0,4,60,100,8,"herb",TRUE,"","CaSAugopen12",116,0.0495626500565908,0.0170927467300832,2,0.0715037894499587
"CaSAugopen2","CaS","Aug","pitfall","open",2,"open2",NA,NA,NA,30,0,0,2,68,100,6,"herb",TRUE,"","CaSAugopen2",13,0.271189373041844,0.142011834319526,2,0.391243563629256
"CaSAugopen3","CaS","Aug","pitfall","open",3,"open3",NA,NA,NA,49,0,0,1,50,100,7,"herb",TRUE,"","CaSAugopen3",3,0.636514168294813,0.444444444444444,2,0.918295834054489
"CaSAugopen4","CaS","Aug","pitfall","open",4,"open4",NA,NA,NA,16,0,0,1,83,100,8,"herb",TRUE,"","CaSAugopen4",29,0,0,1,NA
"CaSAugopen5","CaS","Aug","pitfall","open",5,"open5",NA,NA,NA,23,0,6,2,69,100,4,"grass",TRUE,"","CaSAugopen5",27,1.00854079727819,0.545953360768175,4,0.727508403383723
"CaSAugopen7","CaS","Aug","pitfall","open",7,"open7",NA,NA,NA,38,0,0,2,60,100,6,"grass",TRUE,"","CaSAugopen7",43,0.783044125681171,0.518117901568415,3,0.712757479374717
"CaSAugopen8","CaS","Aug","pitfall","open",8,"open8",NA,NA,NA,52,0,0,3,45,100,10,"grass",TRUE,"","CaSAugopen8",54,0.814444235733395,0.52400548696845,3,0.741339091264651
"CaSAugopen9","CaS","Aug","pitfall","open",9,"open9",NA,NA,NA,48,0,0,1,51,100,4,"grass",TRUE,"","CaSAugopen9",20,1.07004731469048,0.595,4,0.771875977210251
"CaSAugshrub1","CaS","Aug","pitfall","shrub",1,"shrub1",330,320,155,98,0,0,2,0,100,38,"grass",TRUE,"","CaSAugshrub1",133,0.591240939133419,0.401605517553282,2,0.852980370858316
"CaSAugshrub10","CaS","Aug","pitfall","shrub",10,"shrub10",990,340,140,25,0,35,0,40,100,22,"herb",TRUE,"6 shrubs very close together","CaSAugshrub10",40,0.325082973391448,0.18,2,0.468995593589281
"CaSAugshrub11","CaS","Aug","pitfall","shrub",11,"shrub11",475,445,170,97,0,1,0,2,100,43,"grass",TRUE,"","CaSAugshrub11",278,0.579429402750606,0.390663009161017,2,0.835939925893553
"CaSAugshrub12","CaS","Aug","pitfall","shrub",12,"shrub12",500,480,155,81,5,4,4,6,100,30,"grass",TRUE,"","CaSAugshrub12",19,0.623654849568108,0.43213296398892,2,0.899743758698263
"CaSAugshrub2","CaS","Aug","pitfall","shrub",2,"shrub2",265,240,130,97,0,2,0,1,100,17,"grass",TRUE,"","CaSAugshrub2",79,0.161453286292775,0.0730652139080274,2,0.232927855469812
"CaSAugshrub3","CaS","Aug","pitfall","shrub",3,"shrub3",350,300,150,70,0,30,0,0,100,22,"grass",TRUE,"mushroom","CaSAugshrub3",84,0.176808752538701,0.0694444444444444,3,0.160938262171683
"CaSAugshrub4","CaS","Aug","pitfall","shrub",4,"shrub4",215,195,95,20,0,30,0,50,100,8,"herb",TRUE,"","CaSAugshrub4",35,0.90827821409901,0.550204081632653,4,0.655184237614063
"CaSAugshrub5","CaS","Aug","pitfall","shrub",5,"shrub5",600,500,190,100,0,0,0,0,100,35,"grass",TRUE,"3 big shrubs","CaSAugshrub5",170,0.526940707706162,0.322283737024221,3,0.479642102260655
"CaSAugshrub6","CaS","Aug","pitfall","shrub",6,"shrub6",335,245,140,80,0,1,0,19,100,17,"grass",TRUE,"","CaSAugshrub6",121,0.600513213258467,0.362816747489926,3,0.546610682815584
"CaSAugshrub7","CaS","Aug","pitfall","shrub",7,"shrub7",330,260,155,91,0,0,0,9,100,41,"grass",TRUE,"","CaSAugshrub7",385,0.172865720763652,0.0796626749873504,2,0.249392518085417
"CaSAugshrub8","CaS","Aug","pitfall","shrub",8,"shrub8",435,360,120,85,0,4,0,11,100,31,"grass",TRUE,"","CaSAugshrub8",86,0.542348942243927,0.356949702541915,2,0.782444129406689
"CaSAugshrub9","CaS","Aug","pitfall","shrub",9,"shrub9",340,235,115,89,0,3,0,8,100,24,"grass",TRUE,"","CaSAugshrub9",27,0.607693423870957,0.417009602194787,2,0.876716288999464
"CaSJulyopen1","CaS","July","pitfall","open",1,"open1",NA,NA,NA,77,0,0,3,20,100,12,"grass",TRUE,"","CaSJulyopen1",1,0,0,1,NA
"CaSJulyopen10","CaS","July","pitfall","open",10,"open10",NA,NA,NA,0,0,1,2,97,100,0,"grass",TRUE,"","CaSJulyopen10",12,0.286835983056161,0.152777777777778,2,0.413816850303634
"CaSJulyopen11","CaS","July","pitfall","open",11,"open11",NA,NA,NA,1,0,2,1,96,100,5,"grass",TRUE,"","CaSJulyopen11",10,0.801818552543337,0.46,3,0.729846699162098
"CaSJulyopen2","CaS","July","pitfall","open",2,"open2",NA,NA,NA,2,7,1,4,86,100,35,"herb",TRUE,"","CaSJulyopen2",15,1.06060180561246,0.64,3,0.965401367299709
"CaSJulyopen3","CaS","July","pitfall","open",3,"open3",NA,NA,NA,1,2,0,4,93,100,2,"herb",TRUE,"","CaSJulyopen3",11,1.2945451658449,0.710743801652893,4,0.933816945485606
"CaSJulyopen4","CaS","July","pitfall","open",4,"open4",NA,NA,NA,2,2,1,1,94,100,7,"herb",TRUE,"","CaSJulyopen4",51,0.443757284260148,0.214532871972318,3,0.403925287234983
"CaSJulyopen5","CaS","July","pitfall","open",5,"open5",NA,NA,NA,1,2,0,2,95,100,13,"grass",TRUE,"","CaSJulyopen5",43,0.585059805725709,0.31584640346133,3,0.532544385094217
"CaSJulyopen6","CaS","July","pitfall","open",6,"open6",NA,NA,NA,50,0,0,1,49,100,19,"grass",TRUE,"","CaSJulyopen6",16,0.233791658706459,0.1171875,2,0.337290066617014
"CaSJulyopen7","CaS","July","pitfall","open",7,"open7",NA,NA,NA,70,0,0,0,30,100,8,"grass",TRUE,"","CaSJulyopen7",3,0,0,1,NA
"CaSJulyopen8","CaS","July","pitfall","open",8,"open8",NA,NA,NA,10,0,1,5,84,100,14,"grass",TRUE,"","CaSJulyopen8",15,0.860851390631232,0.497777777777778,3,0.78358070404881
"CaSJulyopen9","CaS","July","pitfall","open",9,"open9",NA,NA,NA,3,0,0,2,95,100,1,"grass",TRUE,"","CaSJulyopen9",3,1.09861228866811,0.666666666666667,3,1
"CaSJulyshrub1","CaS","July","pitfall","shrub",1,"shrub1",350,325,126,91,0,3,1,5,100,26,"Grass",TRUE,"3 or 4 stems for one big bush","CaSJulyshrub1",55,0.702449737654435,0.451570247933884,3,0.639397305946798
"CaSJulyshrub10","CaS","July","pitfall","shrub",10,"shrub10",470,430,165,88,0,10,1,1,100,8,"Grass",TRUE,"Grasshoppers mating (?) in bush","CaSJulyshrub10",8,0,0,1,NA
"CaSJulyshrub11","CaS","July","pitfall","shrub",11,"shrub11",250,210,100,60,2,3,2,33,100,22,"Grass",TRUE,"","CaSJulyshrub11",8,0.376770161256437,0.21875,2,0.543564443199596
"CaSJulyshrub12","CaS","July","pitfall","shrub",12,"shrub12",315,315,140,90,1,0,2,7,100,37,"Grass",TRUE,"","CaSJulyshrub12",2,0.693147180559945,0.5,2,1
"CaSJulyshrub2","CaS","July","pitfall","shrub",2,"shrub2",610,500,160,96,0,3,1,0,100,24,"Grass",TRUE,"","CaSJulyshrub2",24,0.456334432293288,0.225694444444444,3,0.41537350073384
"CaSJulyshrub3","CaS","July","pitfall","shrub",3,"shrub3",325,255,155,99,0,0,1,0,100,33,"Grass",TRUE,"","CaSJulyshrub3",129,0.654197623060639,0.330629168920137,4,0.471903833275466
"CaSJulyshrub4","CaS","July","pitfall","shrub",4,"shrub4",285,250,120,83,0,6,1,10,100,31,"Grass",TRUE,"","CaSJulyshrub4",40,1.00375934613588,0.5875,4,0.724059315458089
"CaSJulyshrub6","CaS","July","pitfall","shrub",6,"shrub6",295,275,150,91,0,0,1,8,100,33,"Grass",TRUE,"","CaSJulyshrub6",37,0.546456422248576,0.283418553688824,3,0.497406071172812
"CaSJulyshrub7","CaS","July","pitfall","shrub",7,"shrub7",365,360,170,74,0,10,1,15,100,25,"Grass",TRUE,"","CaSJulyshrub7",91,0.710434541737035,0.476029465040454,3,0.64666538783971
"CaSJulyshrub8","CaS","July","pitfall","shrub",8,"shrub8",390,365,185,90,0,1,1,8,100,28,"Grass",TRUE,"","CaSJulyshrub8",5,1.33217904021012,0.72,4,0.960964047443681
"CaSJulyshrub9","CaS","July","pitfall","shrub",9,"shrub9",320,315,160,94,0,0,1,5,100,29,"Grass",TRUE,"","CaSJulyshrub9",30,0.291139838831965,0.126666666666667,3,0.26500690173867
"CaSlAugopen1","CaSl","Aug","pitfall","open",13,"open1",NA,NA,NA,62,3,0,0,35,100,10,"grass",TRUE,"","CaSlAugopen1",26,0.693147180559945,0.5,2,1
"CaSlAugopen10","CaSl","Aug","pitfall","open",22,"open10",NA,NA,NA,94,0,5,0,1,100,16,"grass",TRUE,"","CaSlAugopen10",29,0.771502808594518,0.435196195005945,3,0.702252119835507
"CaSlAugopen11","CaSl","Aug","pitfall","open",23,"open11",NA,NA,NA,85,0,0,0,15,100,12,"herb",TRUE,"","CaSlAugopen11",66,0.135793958751594,0.0587695133149677,2,0.195909270873605
"CaSlAugopen12","CaSl","Aug","pitfall","open",24,"open12",NA,NA,NA,93,0,0,0,7,100,14,"grass",TRUE,"","CaSlAugopen12",51,0.963092154134341,0.587466359092657,3,0.876644257549617
"CaSlAugopen2","CaSl","Aug","pitfall","open",14,"open2",NA,NA,NA,11,0,0,0,89,100,1,"grass",TRUE,"","CaSlAugopen2",8,0.562335144618808,0.375,2,0.811278124459133
"CaSlAugopen3","CaSl","Aug","pitfall","open",15,"open3",NA,NA,NA,70,4,0,0,26,100,6,"grass",TRUE,"","CaSlAugopen3",34,0.417573211916801,0.250865051903114,2,0.602430802040445
"CaSlAugopen4","CaSl","Aug","pitfall","open",16,"open4",NA,NA,NA,99,0,1,0,0,100,67,"grass",TRUE,"","CaSlAugopen4",17,0.545594573969184,0.359861591695502,2,0.787126586201269
"CaSlAugopen5","CaSl","Aug","pitfall","open",17,"open5",NA,NA,NA,50,0,0,0,50,100,11,"grass",TRUE,"","CaSlAugopen5",19,0.336495757583516,0.188365650969529,2,0.485460760745913
"CaSlAugopen6","CaSl","Aug","pitfall","open",18,"open6",NA,NA,NA,40,0,0,0,60,100,10,"herb",TRUE,"","CaSlAugopen6",34,0,0,1,NA
"CaSlAugopen7","CaSl","Aug","pitfall","open",19,"open7",NA,NA,NA,95,0,0,0,5,100,2,"grass",TRUE,"","CaSlAugopen7",49,0.230323540875878,0.114952103290296,2,0.332286630221615
"CaSlAugopen8","CaSl","Aug","pitfall","open",20,"open8",NA,NA,NA,80,0,6,0,14,100,8,"grass",TRUE,"","CaSlAugopen8",10,0.801818552543337,0.46,3,0.729846699162098
"CaSlAugopen9","CaSl","Aug","pitfall","open",21,"open9",NA,NA,NA,75,0,0,0,25,100,4,"grass",TRUE,"","CaSlAugopen9",80,0,0,1,NA
"CaSlAugshrub1","CaSl","Aug","pitfall","open",1,"shrub1",NA,NA,NA,92,0,0,0,8,100,13,"herb",TRUE,"","CaSlAugshrub1",22,0,0,1,NA
"CaSlAugshrub10","CaSl","Aug","pitfall","open",10,"shrub10",NA,NA,NA,94,0,0,1,5,100,3,"grass",TRUE,"","CaSlAugshrub10",5,0,0,1,NA
"CaSlAugshrub11","CaSl","Aug","pitfall","open",11,"shrub11",NA,NA,NA,95,0,0,0,5,100,66,"grass",TRUE,"","CaSlAugshrub11",16,0.482577565177012,0.3046875,2,0.696212260125146
"CaSlAugshrub12","CaSl","Aug","pitfall","open",12,"shrub12",NA,NA,NA,99,0,1,0,0,100,44,"grass",TRUE,"","CaSlAugshrub12",52,0.585783128918734,0.322485207100592,3,0.533202782238038
"CaSlAugshrub2","CaSl","Aug","pitfall","open",2,"shrub2",NA,NA,NA,82,3,0,0,15,100,22,"grass",TRUE,"","CaSlAugshrub2",23,0.582584245216013,0.302457466918715,3,0.530291032810403
"CaSlAugshrub3","CaSl","Aug","pitfall","open",3,"shrub3",NA,NA,NA,95,0,2,0,3,100,8,"grass",TRUE,"","CaSlAugshrub3",55,0.156210171061883,0.0700826446280991,2,0.225363639127395
"CaSlAugshrub4","CaSl","Aug","pitfall","open",4,"shrub4",NA,NA,NA,49,0,0,0,51,100,15,"grass",TRUE,"","CaSlAugshrub4",79,0.0678872387735005,0.0249959942316935,2,0.0979405827181741
"CaSlAugshrub5","CaSl","Aug","pitfall","open",5,"shrub5",NA,NA,NA,2,0,0,0,98,100,1,"grass",TRUE,"","CaSlAugshrub5",44,0.304636097349238,0.165289256198347,2,0.439496986921513
"CaSlAugshrub6","CaSl","Aug","pitfall","open",6,"shrub6",NA,NA,NA,90,0,0,0,10,100,12,"grass",TRUE,"","CaSlAugshrub6",22,0.184907399167776,0.0867768595041321,2,0.266764987803026
"CaSlAugshrub7","CaSl","Aug","pitfall","open",7,"shrub7",NA,NA,NA,15,0,0,0,85,100,3,"grass",TRUE,"","CaSlAugshrub7",10,0.801818552543337,0.46,3,0.729846699162098
