"","Site","month","Method","Microsite","Rep","field.micro","shrub.x","shrub.y","shrub.z","dry.veg.percent","green.veg.percent","woody.debris.percent","rocks.percent","bare.ground.percent","sum_percent","veg..height","dominant.type","dried.","notes"
"1","CaS","July","pitfall","shrub",1,"",350,325,126,91,0,3,1,5,100,26,"Grass",TRUE,"3 or 4 stems for one big bush"
"2","CaS","July","pitfall","shrub",2,"",610,500,160,96,0,3,1,0,100,24,"Grass",TRUE,""
"3","CaS","July","pitfall","shrub",3,"",325,255,155,99,0,0,1,0,100,33,"Grass",TRUE,""
"4","CaS","July","pitfall","shrub",4,"",285,250,120,83,0,6,1,10,100,31,"Grass",TRUE,""
"5","CaS","July","pitfall","shrub",5,"",290,230,170,96,0,1,1,2,100,29,"Grass",TRUE,""
"6","CaS","July","pitfall","shrub",6,"",295,275,150,91,0,0,1,8,100,33,"Grass",TRUE,""
"7","CaS","July","pitfall","shrub",7,"",365,360,170,74,0,10,1,15,100,25,"Grass",TRUE,""
"8","CaS","July","pitfall","shrub",8,"",390,365,185,90,0,1,1,8,100,28,"Grass",TRUE,""
"9","CaS","July","pitfall","shrub",9,"",320,315,160,94,0,0,1,5,100,29,"Grass",TRUE,""
"10","CaS","July","pitfall","shrub",10,"",470,430,165,88,0,10,1,1,100,8,"Grass",TRUE,"Grasshoppers mating (?) in bush"
"11","CaS","July","pitfall","shrub",11,"",250,210,100,60,2,3,2,33,100,22,"Grass",TRUE,""
"12","CaS","July","pitfall","shrub",12,"",315,315,140,90,1,0,2,7,100,37,"Grass",TRUE,""
"13","CaS","July","pitfall","open",1,"",NA,NA,NA,77,0,0,3,20,100,12,"grass",TRUE,""
"14","CaS","July","pitfall","open",2,"",NA,NA,NA,2,7,1,4,86,100,35,"herb",TRUE,""
"15","CaS","July","pitfall","open",3,"",NA,NA,NA,1,2,0,4,93,100,2,"herb",TRUE,""
"16","CaS","July","pitfall","open",4,"",NA,NA,NA,2,2,1,1,94,100,7,"herb",TRUE,""
"17","CaS","July","pitfall","open",5,"",NA,NA,NA,1,2,0,2,95,100,13,"grass",TRUE,""
"18","CaS","July","pitfall","open",6,"",NA,NA,NA,50,0,0,1,49,100,19,"grass",TRUE,""
"19","CaS","July","pitfall","open",7,"",NA,NA,NA,70,0,0,0,30,100,8,"grass",TRUE,""
"20","CaS","July","pitfall","open",8,"",NA,NA,NA,10,0,1,5,84,100,14,"grass",TRUE,""
"21","CaS","July","pitfall","open",9,"",NA,NA,NA,3,0,0,2,95,100,1,"grass",TRUE,""
"22","CaS","July","pitfall","open",10,"",NA,NA,NA,0,0,1,2,97,100,0,"grass",TRUE,""
"23","CaS","July","pitfall","open",11,"",NA,NA,NA,1,0,2,1,96,100,5,"grass",TRUE,""
"24","CaS","July","pitfall","open",12,"",NA,NA,NA,3,0,0,2,95,100,3,"grass",TRUE,""
"25","CaSl","July","pitfall","open",1,"shrub1",NA,NA,NA,30,0,0,1,69,100,9,"grass",TRUE,""
"26","CaSl","July","pitfall","open",2,"shrub2",NA,NA,NA,10,0,0,0,90,100,7,"grass",TRUE,""
"27","CaSl","July","pitfall","open",3,"shrub3",NA,NA,NA,10,0,0,1,89,100,7,"grass",TRUE,""
"28","CaSl","July","pitfall","open",4,"shrub4",NA,NA,NA,6,0,0,5,89,100,4,"grass",TRUE,""
"29","CaSl","July","pitfall","open",5,"shrub5",NA,NA,NA,60,0,0,0,40,100,5,"grass",TRUE,""
"30","CaSl","July","pitfall","open",6,"shrub6",NA,NA,NA,25,0,0,1,74,100,7,"grass",TRUE,""
"31","CaSl","July","pitfall","open",7,"shrub7",NA,NA,NA,25,0,0,1,74,100,10,"grass",TRUE,""
"32","CaSl","July","pitfall","open",8,"shrub8",NA,NA,NA,5,0,0,1,94,100,9,"grass",TRUE,""
"33","CaSl","July","pitfall","open",9,"shrub9",NA,NA,NA,96,0,3,1,0,100,13,"grass",TRUE,""
"34","CaSl","July","pitfall","open",10,"shrub10",NA,NA,NA,89,0,0,1,10,100,6,"grass",TRUE,""
"35","CaSl","July","pitfall","open",11,"shrub11",NA,NA,NA,72,3,0,0,25,100,9,"grass",TRUE,""
"36","CaSl","July","pitfall","open",12,"shrub12",NA,NA,NA,0,6,0,1,93,100,7,"grass",TRUE,""
"37","CaSl","July","pitfall","open",13,"open1",NA,NA,NA,80,0,0,0,20,100,13,"grass",TRUE,""
"38","CaSl","July","pitfall","open",14,"open2",NA,NA,NA,5,0,0,1,94,100,8,"grass",TRUE,""
"39","CaSl","July","pitfall","open",15,"open3",NA,NA,NA,95,0,0,0,5,100,8,"grass",TRUE,""
"40","CaSl","July","pitfall","open",16,"open4",NA,NA,NA,25,0,0,0,75,100,12,"grass",TRUE,""
"41","CaSl","July","pitfall","open",17,"open5",NA,NA,NA,60,0,0,0,40,100,16,"grass",TRUE,""
"42","CaSl","July","pitfall","open",18,"open6",NA,NA,NA,100,0,0,0,0,100,7,"grass",TRUE,""
"43","CaSl","July","pitfall","open",19,"open7",NA,NA,NA,30,2,0,1,67,100,4,"grass",TRUE,""
"44","CaSl","July","pitfall","open",20,"open8",NA,NA,NA,10,1,0,0,89,100,3,"grass",TRUE,""
"45","CaSl","July","pitfall","open",21,"open9",NA,NA,NA,70,0,0,0,30,100,2,"grass",TRUE,""
"46","CaSl","July","pitfall","open",22,"open10",NA,NA,NA,55,5,1,1,38,100,9,"grass",TRUE,""
"47","CaSl","July","pitfall","open",23,"open11",NA,NA,NA,40,0,1,1,58,100,6,"Grass",TRUE,""
"48","CaSl","July","pitfall","open",24,"open12",NA,NA,NA,50,0,0,0,50,100,5,"Grass",TRUE,""
"49","Lok","July","pitfall","shrub",1,"",200,190,100,25,0,0,1,74,100,10,"Grass",TRUE,""
"50","Lok","July","pitfall","shrub",2,"",310,190,115,95,0,5,0,0,100,30,"Grass",TRUE,""
"51","Lok","July","pitfall","shrub",3,"",290,280,125,70,0,0,0,30,100,10,"Grass",TRUE,""
"52","Lok","July","pitfall","shrub",4,"",110,105,85,70,0,15,0,15,100,23,"Grass",TRUE,""
"53","Lok","July","pitfall","shrub",5,"",140,135,120,35,0,0,0,65,100,13,"Grass",TRUE,""
"54","Lok","July","pitfall","shrub",6,"",200,175,115,89,0,5,1,5,100,16,"Grass",TRUE,""
"55","Lok","July","pitfall","shrub",7,"",160,140,85,13,0,2,0,85,100,29,"Grass",TRUE,""
"56","Lok","July","pitfall","shrub",8,"",230,150,110,90,0,1,0,9,100,17,"Grass",TRUE,""
"57","Lok","July","pitfall","shrub",9,"",310,210,130,94,0,1,0,5,100,27,"Grass",TRUE,""
"58","Lok","July","pitfall","shrub",10,"",180,140,100,45,0,0,3,52,100,14,"Grass",TRUE,""
"59","Lok","July","pitfall","shrub",11,"",220,170,120,15,0,0,5,80,100,18,"Grass",TRUE,""
"60","Lok","July","pitfall","shrub",12,"",770,670,160,100,0,0,0,0,100,23,"Grass",TRUE,""
"61","Lok","July","pitfall","open",1,"",NA,NA,NA,4,2,0,0,94,100,4,"Grass",TRUE,""
"62","Lok","July","pitfall","open",2,"",NA,NA,NA,20,25,0,0,55,100,12,"Grass",TRUE,""
"63","Lok","July","pitfall","open",3,"",NA,NA,NA,3,10,0,0,87,100,13,"herb",TRUE,""
"64","Lok","July","pitfall","open",4,"",NA,NA,NA,8,2,0,0,90,100,13,"Grass",TRUE,""
"65","Lok","July","pitfall","open",5,"",NA,NA,NA,1,0,0,1,98,100,1,"Grass",TRUE,""
"66","Lok","July","pitfall","open",6,"",NA,NA,NA,4,0,3,1,92,100,12,"Grass",TRUE,""
"67","Lok","July","pitfall","open",7,"",NA,NA,NA,3,0,0,1,96,100,7,"Grass",TRUE,""
"68","Lok","July","pitfall","open",8,"",NA,NA,NA,5,0,40,0,55,100,10,"Grass",TRUE,""
"69","Lok","July","pitfall","open",9,"",NA,NA,NA,3,0,0,1,96,100,5,"Grass",TRUE,""
"70","Lok","July","pitfall","open",10,"",NA,NA,NA,65,0,0,0,35,100,14,"herb",TRUE,""
"71","Lok","July","pitfall","open",11,"",NA,NA,NA,20,4,0,1,75,100,18,"grass",TRUE,""
"72","Lok","July","pitfall","open",12,"",NA,NA,NA,25,0,0,1,74,100,10,"grass",TRUE,""
"73","SemiT","July","pitfall","shrub",1,"",195,180,110,85,0,0,0,15,100,7,"herb",TRUE,""
"74","SemiT","July","pitfall","shrub",2,"",240,190,90,50,0,0,0,50,100,25,"grass",TRUE,""
"75","SemiT","July","pitfall","shrub",3,"",155,155,80,20,0,0,0,80,100,4,"herb",TRUE,""
"76","SemiT","July","pitfall","shrub",4,"",140,90,105,25,0,0,0,75,100,12,"herb",TRUE,""
"77","SemiT","July","pitfall","shrub",5,"",220,200,225,0,0,0,0,100,100,0,NA,TRUE,""
"78","SemiT","July","pitfall","shrub",6,"",145,140,80,50,0,0,0,50,100,14,"grass",TRUE,""
"79","SemiT","July","pitfall","shrub",7,"",205,195,105,10,0,0,0,90,100,10,"herb",TRUE,""
"80","SemiT","July","pitfall","shrub",8,"",325,220,100,94,0,1,0,5,100,18,"grass",TRUE,""
"81","SemiT","July","pitfall","shrub",9,"",410,220,100,100,0,0,0,0,100,10,"grass",TRUE,""
"82","SemiT","July","pitfall","shrub",10,"",220,180,120,100,0,0,0,0,100,16,"grass",TRUE,""
"83","SemiT","July","pitfall","shrub",11,"",380,370,90,100,0,0,0,0,100,24,"grass",TRUE,""
"84","SemiT","July","pitfall","shrub",12,"",180,130,95,100,0,0,0,0,100,20,"grass",TRUE,""
"85","SemiT","July","pitfall","open",1,"",NA,NA,NA,100,0,0,0,0,100,10,"herb",TRUE,""
"86","SemiT","July","pitfall","open",2,"",NA,NA,NA,1,0,0,0,99,100,8,"herb",TRUE,""
"87","SemiT","July","pitfall","open",3,"",NA,NA,NA,100,0,0,0,0,100,10,"herb",TRUE,""
"88","SemiT","July","pitfall","open",4,"",NA,NA,NA,6,0,0,0,94,100,6,"herb",TRUE,""
"89","SemiT","July","pitfall","open",5,"",NA,NA,NA,40,0,0,0,60,100,1,"herb",TRUE,""
"90","SemiT","July","pitfall","open",6,"",NA,NA,NA,20,0,0,0,80,100,10,"herb",TRUE,""
"91","SemiT","July","pitfall","open",7,"",NA,NA,NA,15,0,0,0,85,100,9,"herb",TRUE,""
"92","SemiT","July","pitfall","open",8,"",NA,NA,NA,0,0,0,0,100,100,0,"herb",TRUE,""
"93","SemiT","July","pitfall","open",9,"",NA,NA,NA,98,0,0,0,2,100,7,"herb",TRUE,""
"94","SemiT","July","pitfall","open",10,"",NA,NA,NA,94,0,1,0,5,100,16,"herb",TRUE,""
"95","SemiT","July","pitfall","open",11,"",NA,NA,NA,20,0,0,0,80,100,13,"herb",TRUE,""
"96","SemiT","July","pitfall","open",12,"",NA,NA,NA,80,0,0,0,20,100,18,"herb",TRUE,""
"97","Coal","July","pitfall","open",1,"shrub1",NA,NA,NA,98,2,0,0,0,100,14,"grass",TRUE,""
"98","Coal","July","pitfall","open",2,"shrub2",NA,NA,NA,100,0,0,0,0,100,26,"grass",TRUE,""
"99","Coal","July","pitfall","open",3,"shrub3",NA,NA,NA,97,3,0,0,0,100,5,"grass",TRUE,""
"100","Coal","July","pitfall","open",4,"shrub4",NA,NA,NA,5,1,0,1,93,100,11,"grass",TRUE,""
"101","Coal","July","pitfall","open",5,"shrub5",NA,NA,NA,97,3,0,0,0,100,27,"grass",TRUE,""
"102","Coal","July","pitfall","open",6,"shrub6",NA,NA,NA,67,1,1,1,30,100,17,"herb",TRUE,""
"103","Coal","July","pitfall","open",7,"shrub7",NA,NA,NA,94,2,1,0,3,100,27,"grass",TRUE,""
"104","Coal","July","pitfall","open",8,"shrub8",NA,NA,NA,8,3,0,1,88,100,5,"grass",TRUE,""
"105","Coal","July","pitfall","open",9,"shrub9",NA,NA,NA,90,0,10,0,0,100,20,"grass",TRUE,""
"106","Coal","July","pitfall","open",10,"shrub10",NA,NA,NA,3,2,1,0,94,100,5,"grass",TRUE,""
"107","Coal","July","pitfall","open",11,"shrub11",NA,NA,NA,49,2,0,0,49,100,10,"grass",TRUE,""
"108","Coal","July","pitfall","open",12,"shrub12",NA,NA,NA,96,1,0,0,3,100,14,"grass",TRUE,""
"109","Coal","July","pitfall","open",13,"open1",NA,NA,NA,90,10,0,0,0,100,13,"grass",TRUE,""
"110","Coal","July","pitfall","open",14,"open2",NA,NA,NA,98,1,0,0,1,100,12,"grass",TRUE,""
"111","Coal","July","pitfall","open",15,"open3",NA,NA,NA,98,2,0,0,0,100,5,"grass",TRUE,""
"112","Coal","July","pitfall","open",16,"open4",NA,NA,NA,5,5,0,0,90,100,10,"herb",TRUE,""
"113","Coal","July","pitfall","open",17,"open5",NA,NA,NA,85,15,0,0,0,100,12,"grass",TRUE,""
"114","Coal","July","pitfall","open",18,"open6",NA,NA,NA,90,10,0,0,0,100,15,"grass",TRUE,""
"115","Coal","July","pitfall","open",19,"open7",NA,NA,NA,97,1,1,0,1,100,22,"grass",TRUE,""
"116","Coal","July","pitfall","open",20,"open8",NA,NA,NA,98,2,0,0,0,100,8,"grass",TRUE,""
"117","Coal","July","pitfall","open",21,"open9",NA,NA,NA,98,1,0,0,1,100,14,"grass",TRUE,""
"118","Coal","July","pitfall","open",22,"open10",NA,NA,NA,99,1,0,0,0,100,5,"grass",TRUE,""
"119","Coal","July","pitfall","open",23,"open11",NA,NA,NA,100,0,0,0,0,100,12,"grass",TRUE,""
"120","Coal","July","pitfall","open",24,"open12",NA,NA,NA,91,8,0,0,1,100,9,"grass",TRUE,""
"121","Aven","July","pitfall","shrub",1,"",180,110,80,30,0,15,0,55,100,42,"grass",TRUE,"lots of burrows"
"122","Aven","July","pitfall","shrub",2,"",270,140,135,50,0,1,0,49,100,18,"grass",TRUE,""
"123","Aven","July","pitfall","shrub",3,"",120,65,110,99,0,1,0,0,100,36,"grass",TRUE,""
"124","Aven","July","pitfall","shrub",4,"",170,90,90,25,0,0,0,75,100,25,"grass",TRUE,""
"125","Aven","July","pitfall","shrub",5,"",130,65,115,98,0,0,0,2,100,18,"grass",TRUE,""
"126","Aven","July","pitfall","shrub",6,"",160,150,85,100,0,0,0,0,100,38,"grass",TRUE,""
"127","Aven","July","pitfall","shrub",7,"",255,240,110,3,0,4,0,93,100,10,"grass",TRUE,"small amount of broken glass"
"128","Aven","July","pitfall","shrub",8,"",165,150,140,3,0,2,1,94,100,5,"grass",TRUE,""
"129","Aven","July","pitfall","shrub",9,"",125,105,125,96,0,3,0,1,100,37,"grass",TRUE,""
"130","Aven","July","pitfall","shrub",10,"",140,95,105,99,0,1,0,0,100,19,"grass",TRUE,""
"131","Aven","July","pitfall","shrub",11,"",200,125,125,10,0,0,8,82,100,7,"grass",TRUE,""
"132","Aven","July","pitfall","shrub",12,"",70,55,90,95,0,0,0,5,100,21,"grass",TRUE,""
"133","Aven","July","pitfall","open",1,"",NA,NA,NA,100,0,0,0,0,100,32,"grass",TRUE,""
"134","Aven","July","pitfall","open",2,"",NA,NA,NA,100,0,0,0,0,100,23,"grass",TRUE,""
"135","Aven","July","pitfall","open",3,"",NA,NA,NA,65,0,0,0,35,100,34,"grass",TRUE,""
"136","Aven","July","pitfall","open",4,"",NA,NA,NA,2,0,2,0,96,100,5,"grass",TRUE,""
"137","Aven","July","pitfall","open",5,"",NA,NA,NA,73,0,12,0,15,100,19,"grass",TRUE,""
"138","Aven","July","pitfall","open",6,"",NA,NA,NA,2,0,0,0,98,100,6,"grass",TRUE,""
"139","Aven","July","pitfall","open",7,"",NA,NA,NA,0,0,12,0,88,100,0,"grass",TRUE,""
"140","Aven","July","pitfall","open",8,"",NA,NA,NA,0,0,1,1,98,100,0,"grass",TRUE,""
"141","Aven","July","pitfall","open",9,"",NA,NA,NA,96,0,4,0,0,100,32,"grass",TRUE,""
"142","Aven","July","pitfall","open",10,"",NA,NA,NA,93,0,2,0,5,100,25,"grass",TRUE,""
"143","Aven","July","pitfall","open",11,"",NA,NA,NA,3,0,0,1,96,100,10,"grass",TRUE,""
"144","Aven","July","pitfall","open",12,"",NA,NA,NA,99,0,0,0,1,100,13,"grass",TRUE,""
"145","SiCr","July","pitfall","shrub",1,"",220,130,130,85,0,0,0,15,100,25,"grass",TRUE,""
"146","SiCr","July","pitfall","shrub",2,"",135,100,110,63,0,0,2,35,100,16,"grass",TRUE,""
"147","SiCr","July","pitfall","shrub",3,"",210,190,120,80,0,0,0,20,100,24,"grass",TRUE,""
"148","SiCr","July","pitfall","shrub",4,"",250,210,135,99,0,0,0,1,100,23,"grass",TRUE,""
"149","SiCr","July","pitfall","shrub",5,"",300,275,155,12,0,0,0,88,100,12,"grass",TRUE,""
"150","SiCr","July","pitfall","shrub",6,"",200,200,100,100,0,0,0,0,100,28,"grass",TRUE,""
"151","SiCr","July","pitfall","shrub",7,"",420,380,190,100,0,0,0,0,100,18,"grass",TRUE,""
"152","SiCr","July","pitfall","shrub",8,"",180,155,120,94,0,0,1,5,100,11,"grass",TRUE,""
"153","SiCr","July","pitfall","shrub",9,"",370,350,155,99,0,1,0,0,100,29,"grass",TRUE,""
"154","SiCr","July","pitfall","shrub",10,"",95,105,70,100,0,0,0,0,100,26,"grass",TRUE,""
"155","SiCr","July","pitfall","shrub",11,"",150,100,95,100,0,0,0,0,100,40,"grass",TRUE,""
"156","SiCr","July","pitfall","shrub",12,"",300,210,155,50,0,50,0,0,100,20,"grass",TRUE,""
"157","SiCr","July","pitfall","open",1,"",NA,NA,NA,100,0,0,0,0,100,26,"grass",TRUE,""
"158","SiCr","July","pitfall","open",2,"",NA,NA,NA,5,1,0,0,94,100,7,"grass",TRUE,""
"159","SiCr","July","pitfall","open",3,"",NA,NA,NA,0,0,0,0,100,100,0,NA,NA,""
"160","SiCr","July","pitfall","open",4,"",NA,NA,NA,50,0,0,0,50,100,13,"herb",TRUE,""
"161","SiCr","July","pitfall","open",5,"",NA,NA,NA,0,0,5,0,95,100,NA,NA,NA,""
"162","SiCr","July","pitfall","open",6,"",NA,NA,NA,100,0,0,0,0,100,28,"grass",TRUE,""
"163","SiCr","July","pitfall","open",7,"",NA,NA,NA,50,0,1,0,49,100,1,"grass",TRUE,""
"164","SiCr","July","pitfall","open",8,"",NA,NA,NA,99,0,0,0,1,100,28,"herb",TRUE,""
"165","SiCr","July","pitfall","open",9,"",NA,NA,NA,100,0,0,0,0,100,38,"grass",TRUE,""
"166","SiCr","July","pitfall","open",10,"",NA,NA,NA,99,0,0,0,1,100,3,"herb",TRUE,""
"167","SiCr","July","pitfall","open",11,"",NA,NA,NA,100,0,0,0,0,100,23,"grass",TRUE,""
"168","SiCr","July","pitfall","open",12,"",NA,NA,NA,100,0,0,0,0,100,37,"grass",TRUE,""
"169","PaPl","July","pitfall","shrub",1,"",420,385,175,100,0,0,0,0,100,36,"grass",TRUE,""
"170","PaPl","July","pitfall","shrub",2,"",260,245,90,95,0,0,0,5,100,34,"grass",TRUE,""
"171","PaPl","July","pitfall","shrub",3,"",215,150,95,100,0,0,0,0,100,28,"grass",TRUE,""
"172","PaPl","July","pitfall","shrub",4,"",270,250,120,98,0,0,0,2,100,50,"grass",TRUE,"burrow"
"173","PaPl","July","pitfall","shrub",5,"",485,400,175,100,0,0,0,0,100,15,"grass",TRUE,""
"174","PaPl","July","pitfall","shrub",6,"",300,275,130,100,0,0,0,0,100,25,"grass",TRUE,""
"175","PaPl","July","pitfall","shrub",7,"",275,165,195,100,0,0,0,0,100,34,"grass",TRUE,""
"176","PaPl","July","pitfall","shrub",8,"",240,190,115,95,0,0,0,5,100,28,"grass",TRUE,""
"177","PaPl","July","pitfall","shrub",9,"",310,300,105,100,0,0,0,0,100,33,"grass",TRUE,""
"178","PaPl","July","pitfall","shrub",10,"",370,300,160,100,0,0,0,0,100,20,"grass",TRUE,""
"179","PaPl","July","pitfall","shrub",11,"",310,240,115,100,0,0,0,0,100,34,"grass",TRUE,""
"180","PaPl","July","pitfall","shrub",12,"",380,340,135,100,0,0,0,0,100,24,"grass",TRUE,""
"181","PaPl","July","pitfall","open",1,"",NA,NA,NA,85,0,0,0,15,100,5,"herd",TRUE,""
"182","PaPl","July","pitfall","open",2,"",NA,NA,NA,90,0,0,0,10,100,19,"grass",TRUE,""
"183","PaPl","July","pitfall","open",3,"",NA,NA,NA,94,1,0,0,5,100,12,"grass",TRUE,""
"184","PaPl","July","pitfall","open",4,"",NA,NA,NA,97,0,0,0,3,100,12,"grass",TRUE,""
"185","PaPl","July","pitfall","open",5,"",NA,NA,NA,100,0,0,0,0,100,16,"grass",TRUE,""
"186","PaPl","July","pitfall","open",6,"",NA,NA,NA,96,0,0,1,3,100,13,"grass",TRUE,""
"187","PaPl","July","pitfall","open",7,"",NA,NA,NA,100,0,0,0,0,100,29,"grass",TRUE,""
"188","PaPl","July","pitfall","open",8,"",NA,NA,NA,98,0,0,1,1,100,9,"grass",TRUE,""
"189","PaPl","July","pitfall","open",9,"",NA,NA,NA,99,0,0,1,0,100,20,"grass",TRUE,""
"190","PaPl","July","pitfall","open",10,"",NA,NA,NA,99,0,0,1,0,100,21,"grass",TRUE,""
"191","PaPl","July","pitfall","open",11,"",NA,NA,NA,97,0,0,0,3,100,10,"grass",TRUE,""
"192","PaPl","July","pitfall","open",12,"",NA,NA,NA,99,0,0,1,0,100,16,"grass",TRUE,""
"193","Mov","July","pitfall","open",1,"shrub1",NA,NA,NA,80,0,0,0,20,100,13,"herb",TRUE,""
"194","Mov","July","pitfall","open",2,"shrub2",NA,NA,NA,50,0,0,0,50,100,16,"grass",TRUE,""
"195","Mov","July","pitfall","open",3,"shrub3",NA,NA,NA,96,2,0,0,2,100,12,"herb",TRUE,""
"196","Mov","July","pitfall","open",4,"shrub4",NA,NA,NA,91,4,0,0,5,100,6,"grass",TRUE,""
"197","Mov","July","pitfall","open",5,"shrub5",NA,NA,NA,87,2,0,1,10,100,6,"grass",TRUE,""
"198","Mov","July","pitfall","open",6,"shrub6",NA,NA,NA,78,2,0,0,20,100,2,"herb",TRUE,""
"199","Mov","July","pitfall","open",7,"shrub7",NA,NA,NA,85,5,0,0,10,100,7,"grass",TRUE,""
"200","Mov","July","pitfall","open",8,"shrub8",NA,NA,NA,90,0,0,0,10,100,4,"grass",TRUE,""
"201","Mov","July","pitfall","open",9,"shrub9",NA,NA,NA,65,5,0,0,30,100,3,"grass",TRUE,""
"202","Mov","July","pitfall","open",10,"shrub10",NA,NA,NA,93,2,0,0,5,100,7,"herb",TRUE,""
"203","Mov","July","pitfall","open",11,"shrub11",NA,NA,NA,90,0,0,0,10,100,9,"grass",TRUE,""
"204","Mov","July","pitfall","open",12,"shrub12",NA,NA,NA,97,0,0,0,3,100,17,"grass",TRUE,""
"205","Mov","July","pitfall","open",13,"open1",NA,NA,NA,82,8,0,0,10,100,4,"herb",TRUE,""
"206","Mov","July","pitfall","open",14,"open2",NA,NA,NA,88,2,0,0,10,100,5,"herb",TRUE,""
"207","Mov","July","pitfall","open",15,"open3",NA,NA,NA,90,5,0,0,5,100,3,"herb",TRUE,""
"208","Mov","July","pitfall","open",16,"open4",NA,NA,NA,91,4,0,0,5,100,3,"grass",TRUE,""
"209","Mov","July","pitfall","open",17,"open5",NA,NA,NA,92,4,0,0,4,100,2,"herb",TRUE,""
"210","Mov","July","pitfall","open",18,"open6",NA,NA,NA,93,0,0,0,7,100,5,"herb",TRUE,""
"211","Mov","July","pitfall","open",19,"open7",NA,NA,NA,99,1,0,0,0,100,6,"grass",TRUE,""
"212","Mov","July","pitfall","open",20,"open8",NA,NA,NA,97,1,0,0,2,100,4,"grass",TRUE,""
"213","Mov","July","pitfall","open",21,"open9",NA,NA,NA,95,0,0,0,5,100,11,"grass",TRUE,""
"214","Mov","July","pitfall","open",22,"open10",NA,NA,NA,98,0,0,0,2,100,4,"grass",TRUE,""
