Category,ID,Latitude,Longitude,Date,PST,Orbit Number,Scene ID,Build ID,Orbit Correction Performed,ECO4ESIPTJPL_001_Evaporative_Stress_Index_PT_JPL_ESIavg,ECO4ESIPTJPL_001_Evaporative_Stress_Index_PT_JPL_PET,,,,,,,,
July,Aven,36.094,-120.197,2020-07-10 14:03:39 UTC,6:00 AM,11407,14,601,TRUE,0.8115777,142.8957214,,,,,,,,
July,Aven,36.094,-120.197,2020-07-20 02:47:02 UTC,6:00 PM,11555,1,601,TRUE,0.0911632,154.6762238,,,,,,,,
July,Aven,36.094,-120.197,2020-07-24 01:12:11 UTC,5:00 PM,11616,1,601,TRUE,0.047975,260.5924683,,,,,,,,its 8 hours ahead
July,Aven,36.094,-120.197,2020-07-27 23:37:15 UTC,4:00 PM,11677,1,601,TRUE,0.0265525,426.6524048,,,,,,,,
July,Aven,36.094,-120.197,2020-07-31 22:03:18 UTC,2:00 PM,11738,1,601,TRUE,0.0189652,518.4301758,,,,,,,,
July,CaS,35.119955,-119.628287,2020-07-10 14:03:39 UTC,6:00 AM,11407,14,601,TRUE,0.5490521,135.0234528,,,,,,,,
July,CaS,35.119955,-119.628287,2020-07-20 02:47:02 UTC,6:00 PM,11555,1,601,TRUE,0.0404213,127.8205185,,,,,,,,
July,CaS,35.119955,-119.628287,2020-07-24 01:12:11 UTC,5:00 PM,11616,1,601,TRUE,0.0210246,229.2256927,,,,,,,,
July,CaS,35.119955,-119.628287,2020-07-27 23:37:15 UTC,4:00 PM,11677,1,601,TRUE,0.0145398,375.9628601,,,,,,,,
July,CaS,35.119955,-119.628287,2020-07-31 22:03:18 UTC,2:00 PM,11738,1,601,TRUE,0.0190981,474.102356,,,,,,,,
July,CaSl,35.09,-119.574,2020-07-10 14:03:39 UTC,6:00 AM,11407,14,601,TRUE,0.5373751,137.6148987,,,,,,,,
July,CaSl,35.09,-119.574,2020-07-20 02:47:02 UTC,6:00 PM,11555,1,601,TRUE,0.0488795,126.042717,,,,,,,,
July,CaSl,35.09,-119.574,2020-07-24 01:12:11 UTC,5:00 PM,11616,1,601,TRUE,0.0284077,232.3357697,,,,,,,,
July,CaSl,35.09,-119.574,2020-07-27 23:37:15 UTC,4:00 PM,11677,1,601,TRUE,0.019605,375.3678894,,,,,,,,
July,CaSl,35.09,-119.574,2020-07-31 22:03:18 UTC,2:00 PM,11738,1,601,TRUE,0.0207521,466.6122742,,,,,,,,
July,Coal,36.213,-120.305,2020-07-10 14:03:39 UTC,6:00 AM,11407,14,601,TRUE,0.6198987,149.521759,,,,,,,,
July,Coal,36.213,-120.305,2020-07-20 02:47:02 UTC,6:00 PM,11555,1,601,TRUE,0.0509855,148.3834839,,,,,,,,
July,Coal,36.213,-120.305,2020-07-24 01:12:11 UTC,5:00 PM,11616,1,601,TRUE,0.0143913,272.1799316,,,,,,,,
July,Coal,36.213,-120.305,2020-07-27 23:37:15 UTC,4:00 PM,11677,1,601,TRUE,0.0110436,441.8834229,,,,,,,,
July,Coal,36.213,-120.305,2020-07-31 22:03:18 UTC,2:00 PM,11738,1,601,TRUE,0.007601,542.9337769,,,,,,,,
July,Lok,35.354,-119.584,2020-07-10 14:03:39 UTC,6:00 AM,11407,14,601,TRUE,0.8976637,116.0565414,,,,,,,,
July,Lok,35.354,-119.584,2020-07-20 02:47:02 UTC,6:00 PM,11555,1,601,TRUE,0.1156047,118.379097,,,,,,,,
July,Lok,35.354,-119.584,2020-07-24 01:12:11 UTC,5:00 PM,11616,1,601,TRUE,0.0427743,229.4368134,,,,,,,,
July,Lok,35.354,-119.584,2020-07-27 23:37:15 UTC,4:00 PM,11677,1,601,TRUE,0.025556,378.7277222,,,,,,,,
July,Lok,35.354,-119.584,2020-07-31 22:03:18 UTC,2:00 PM,11738,1,601,TRUE,0.0296425,462.2020569,,,,,,,,
July,Mov,36.563,-120.547,2020-07-10 14:03:39 UTC,6:00 AM,11407,14,601,TRUE,0.8172901,135.8557892,,,,,,,,
July,Mov,36.563,-120.547,2020-07-20 02:47:02 UTC,6:00 PM,11555,1,601,TRUE,0.1029041,130.413681,,,,,,,,
July,Mov,36.563,-120.547,2020-07-24 01:12:11 UTC,5:00 PM,11616,1,601,TRUE,0.0527173,245.9331665,,,,,,,,
July,Mov,36.563,-120.547,2020-07-27 23:37:15 UTC,4:00 PM,11677,1,601,TRUE,0.0296674,429.0524597,,,,,,,,
July,Mov,36.563,-120.547,2020-07-31 22:03:18 UTC,2:00 PM,11738,1,601,TRUE,0.0196192,516.9086914,,,,,,,,
July,PaPl,36.698,-120.799,2020-07-10 14:03:39 UTC,,11407,14,601,TRUE,0.4592892,148.3506012,,,,,,,,
July,PaPl,36.698,-120.799,2020-07-20 02:47:02 UTC,,11555,1,601,TRUE,0.0228171,158.2819824,,,,,,,,
July,PaPl,36.698,-120.799,2020-07-24 01:12:11 UTC,,11616,1,601,TRUE,0.009174,281.4193726,,,,,,,,
July,PaPl,36.698,-120.799,2020-07-27 00:25:12 UTC,,11662,1,601,TRUE,0.0129712,375.1542358,,,,,,,,
July,PaPl,36.698,-120.799,2020-07-27 23:37:15 UTC,,11677,1,601,TRUE,0.0048158,459.4377441,,,,,,,,
July,PaPl,36.698,-120.799,2020-07-30 22:50:53 UTC,,11723,1,601,TRUE,0.003026,477.5133972,,,,,,,,
July,PaPl,36.698,-120.799,2020-07-31 22:03:18 UTC,,11738,1,601,TRUE,0.0034652,544.5823364,,,,,,,,
July,SemiT,35.658,-119.612,2020-07-10 14:03:39 UTC,6:00 AM,11407,14,601,TRUE,0.918681,126.2807312,,,,,,,,
July,SemiT,35.658,-119.612,2020-07-20 02:47:02 UTC,6:00 PM,11555,1,601,TRUE,0.1129378,129.7462311,,,,,,,,
July,SemiT,35.658,-119.612,2020-07-24 01:12:11 UTC,5:00 PM,11616,1,601,TRUE,0.0307679,258.9876099,,,,,,,,
July,SemiT,35.658,-119.612,2020-07-27 23:37:15 UTC,4:00 PM,11677,1,601,TRUE,0.020177,411.1668091,,,,,,,,
July,SemiT,35.658,-119.612,2020-07-31 22:03:18 UTC,2:00 PM,11738,1,601,TRUE,0.0160927,487.5053101,,,,,,,,
July,SiCr,36.586,-120.687,2020-07-10 14:03:39 UTC,,11407,14,601,TRUE,0.6517983,137.0660095,,,,,,,,
July,SiCr,36.586,-120.687,2020-07-20 02:47:02 UTC,,11555,1,601,TRUE,0.050306,150.5427704,,,,,,,,
July,SiCr,36.586,-120.687,2020-07-24 01:12:11 UTC,,11616,1,601,TRUE,0.0181117,267.0344543,,,,,,,,
July,SiCr,36.586,-120.687,2020-07-27 23:37:15 UTC,,11677,1,601,TRUE,0.0098093,441.2532654,,,,,,,,
July,SiCr,36.586,-120.687,2020-07-30 22:50:53 UTC,,11723,1,601,TRUE,0.0064811,469.4072876,,,,,,,,
July,SiCr,36.586,-120.687,2020-07-31 22:03:18 UTC,,11738,1,601,TRUE,0.0066787,522.7774658,,,,,,,,
